Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Smart Growth Initiative,Zoning Regulation,True,True,Urban Planning Policy,Urban Planning,llama3-70b,lora_70b_en_v0,urban studies,
Recreational Space,Commercial Hub,True,False,Land Use Pattern,,llama3-70b,lora_70b_en_v0,urban studies,
Post-War Bungalow,Historic Landmark,True,False,Building Architecture,,llama3-70b,lora_70b_en_v0,urban studies,
Bike-Friendly Roads,Efficient Public Transit,True,True,Transportation Infrastructure,Transportation Infrastructure,llama3-70b,lora_70b_en_v0,urban studies,
Art Deco Building,Post-War Bungalow,True,False,Building Architecture,,llama3-70b,lora_70b_en_v0,urban studies,
Public-Private Partnership,Decentralized Administration,True,True,Urban Governance,Governance Structure,llama3-70b,lora_70b_en_v0,urban studies,
Green Space Oasis,Noise Pollution Hotspot,True,False,Environmental Quality,,llama3-70b,lora_70b_en_v0,urban studies,
Historic Museum Quarter,Lively Nightlife Scene,True,False,Cultural Amenities,,llama3-70b,lora_70b_en_v0,urban studies,
Noise Pollution Hotspot,Toxic Waste Site,True,False,Environmental Quality,,llama3-70b,lora_70b_en_v0,urban studies,
Family-Oriented Neighborhood,Student Quarter,True,False,Neighborhood Demographics,,llama3-70b,lora_70b_en_v0,urban studies,
Disaster-Prone Region,Zoning Regulation,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Police Patrol Zone,Commercial Hub,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Police Patrol Zone,Historic Landmark,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Recreational Space,Efficient Public Transit,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Financial Hub,Post-War Bungalow,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Art Deco Building,Decentralized Administration,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Student Quarter,Noise Pollution Hotspot,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Retiree Enclave,Commercial Hub,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Toxic Waste Site,Lively Nightlife Scene,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Waterway Access,Emergency Response Hub,False,False,,,llama3-70b,lora_70b_en_v0,urban studies,
Solenoid Coil,Bar Magnet,True,True,Magnetic Field,Magnetic Field,llama3-70b,lora_70b_en_v0,physics,
Fiberglass,Reflective Insulation,True,False,Thermal Insulator,,llama3-70b,lora_70b_en_v0,physics,
Fixed Axis,Ideal Rigid Body,True,False,Kinematic Constraint,,llama3-70b,lora_70b_en_v0,physics,
Styrofoam,Vacuum Flask,True,False,Thermal Insulator,,llama3-70b,lora_70b_en_v0,physics,
Vacuum Flask,Ceramic Fiber,True,False,Thermal Insulator,,llama3-70b,lora_70b_en_v0,physics,
Prism,Water,True,False,Optical Medium,,llama3-70b,lora_70b_en_v0,physics,
Heat Engine,Refrigerator,True,True,Thermodynamic System,Thermodynamic Process,llama3-70b,lora_70b_en_v0,physics,
X-Ray Tube,Laser Diode,True,False,Radiation Source,,llama3-70b,lora_70b_en_v0,physics,
Tidal Force,Gravitational Wave,True,False,Gravitational Field,,llama3-70b,lora_70b_en_v0,physics,
Tidal Force,Black Hole,True,False,Gravitational Field,,llama3-70b,lora_70b_en_v0,physics,
Vibrating Diaphragm,Bar Magnet,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Prism,Reflective Insulation,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Air,Ideal Rigid Body,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Gold Plating,Vacuum Flask,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Gold Plating,Ideal Gas,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Guitar String,Ceramic Fiber,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Laser Diode,Water,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Radio Wave,Refrigerator,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Ceramic Fiber,Laser Diode,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Prism,Gravitational Wave,False,False,,,llama3-70b,lora_70b_en_v0,physics,
Sleepwalker,Nap Lover,True,False,Sleep Pattern,,llama3-70b,lora_70b_en_v0,health,
Athletic Build,Underweight,True,False,Body Mass Index,,llama3-70b,lora_70b_en_v0,health,
Flexitarian,Omnivore,True,True,Diet Type,Diet,llama3-70b,lora_70b_en_v0,health,
Factory Worker,Office Worker,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0,health,
Office Worker,Farmer,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0,health,
Obese,Underweight,True,True,Body Mass Index,Body Mass Index,llama3-70b,lora_70b_en_v0,health,
Factory Worker,Construction Worker,True,True,Occupational Hazards,Occupation,llama3-70b,lora_70b_en_v0,health,
Firefighter,Healthcare Professional,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0,health,
Healthcare Professional,Factory Worker,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0,health,
Vegetarian,Pescatarian,True,True,Diet Type,Diet,llama3-70b,lora_70b_en_v0,health,
Prescription Follower,Nap Lover,False,False,,,llama3-70b,lora_70b_en_v0,health,
Factory Worker,Underweight,False,False,,,llama3-70b,lora_70b_en_v0,health,
Dose Adjuster,Omnivore,False,False,,,llama3-70b,lora_70b_en_v0,health,
Flexitarian,Mountain Dweller,False,False,,,llama3-70b,lora_70b_en_v0,health,
Chain Smoker,Office Worker,False,False,,,llama3-70b,lora_70b_en_v0,health,
Non Smoker,Farmer,False,False,,,llama3-70b,lora_70b_en_v0,health,
Prescription Follower,Underweight,False,False,,,llama3-70b,lora_70b_en_v0,health,
Healthy Family,Construction Worker,False,False,,,llama3-70b,lora_70b_en_v0,health,
Light Sleeper,Healthcare Professional,False,False,,,llama3-70b,lora_70b_en_v0,health,
Desert Resident,Factory Worker,False,False,,,llama3-70b,lora_70b_en_v0,health,
Deep Ultraviolet,Extreme Ultraviolet,True,True,Lithography Wavelength,Wavelength,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Silicon Carbide,Silicon on Insulator,True,False,Type of Wafer Material,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
High-K Dielectric,Silicon Nitride,True,True,Dielectric Material Used,Gate Dielectric Material,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Flip Chip,System-in-Package,True,True,Packaging Technology,Packaging Technology,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Nanowire,Gate-All-Around,True,True,Pattern of Transistor Gate,Transistor structure,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Silicon Dioxide,Low-K Dielectric,True,True,Dielectric Material Used,Dielectric Material,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Gold,Tungsten,True,True,Type of Interconnect Metal,Material,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Low-K Dielectric,High-K Dielectric,True,True,Dielectric Material Used,Dielectric Constant,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Dry Etching,Plasma Etching,True,True,Type of Etching Process,Etching Method,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
KrF Excimer Laser,Argon Fluoride,True,True,Lithography Wavelength,Laser Gases,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
System-in-Package,Extreme Ultraviolet,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Wet Etching,Silicon on Insulator,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Wire Bonding,Silicon Dioxide,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Chemical Vapor Deposition,Silicon Nitride,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Deep Ultraviolet,System-in-Package,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Copper,Gate-All-Around,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Class 1000,High-K Dielectric,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Bulk Silicon,Low-K Dielectric,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Copper,Plasma Etching,False,False,,,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Argon Fluoride,Reactive Ion Etching,False,True,,Etchant,llama3-70b,lora_70b_en_v0,semiconductor manufacturing,
Denial of Service Attack,Ransomware Malware,True,False,Cybersecurity Threat,,llama3-70b,lora_70b_en_v0,computer science,
Queue Data Type,Graph Theory Application,True,False,Data Structure,,llama3-70b,lora_70b_en_v0,computer science,
Linear Time Complexity,Logarithmic Space Complexity,True,False,Computational Complexity,,llama3-70b,lora_70b_en_v0,computer science,
Lean Software Development,Agile Project Management,True,True,Software Development Methodology,Project Management Methodology,llama3-70b,lora_70b_en_v0,computer science,
Graph Theory Application,Tree Traversal Algorithm,True,False,Data Structure,,llama3-70b,lora_70b_en_v0,computer science,
