Causal Variable,Values
Coach ,"['Pep Guardiola',    'Jurgen Klopp',    'Carlo Ancelotti',    'Zinedine Zidane',    'Jose Mourinho']" 
Team Motivation,"['The team is fired up, The team is holding their own','There is a lack of enthusiasm and excitement among players','The team feels undervalued and unappreciated']" 
Fitness Level,"['The team is in top physical condition',' The athletes have a high level of endurance','The team is in decent shape','The players are fit','The team is out of shape']" 
Pre Game Proprioception,"['Balance Exercises','Body weight Movements','No Pre Game Proprioception]" 
Previous Injury,"['Knee Injuries','Ankle Sprains','Hamstring Strains','Groin Strains','No Previous Injury']" 
Warm Up Exercises,"['Arm Circles','Leg swingsHip hinges','Lunge','Squats','No Warm Up Exercises]" 
Genetics,"['ACTN3  impacts muscle fiber types affecting strength and power',' COL5A1 Variants in these genes have been linked to an increased risk of Achilles tendon injury','TNC Variants in these genes have been linked to an increased risk of Achilles tendon injury','MMP3 Variants in these genes have been linked to an increased risk of Achilles tendon injury','FTO  is linked to increased body mass and weight gain but the effect can be mitigated by physical activity.']" 
Connective Tissue Disorder,"['Fibromyalgia','Scleroderma',' Rheumatoid Arthritis (RA)',' Osteogenesis Imperfecta','Mixed Connective Tissue Disease (MCTD)','Marfan Syndrome','Hypermobile Ehlers-Danlos Syndrome (EDS)','No Connective Tissue Disorder']"
Contact sport,"['Swimming','Ice Hockey','Basketball','Wrestling','Boxing','Tennis','Badminton','Gymnastics','Running','Diving']"
Tissue Weakness,"['Joint Hypermobility,Skeletal Abnormalities,No Tissue Weakness']"
Neuromuscular Fatigue,"['Muscle twitching','Muscle cramps during exercise','Losing the ability to lift a weight','An inappropriate rapid heart rate response to exercise','Muscle pain or soreness','No Neuromuscular Fatigue']"
Intra Game Proprioception,"['Balance Exercises','Body weight Movements','No Intra Game Proprioception']"
Injury,"['Knee Injuries','Ankle Sprains','Hamstring Strains','Groin Strains','No  Injury']"
